data;codigo;var_mensal;var_mensal_15
01/01/2016;5;2.36;3.54
01/02/2016;5;0.25;-0.14
01/03/2016;5;0.97;0.26
01/04/2016;5;1.43;0.22
01/05/2016;5;2.85;1.28
01/06/2016;5;-0.38;0.87
01/07/2016;5;0.93;-0.18
01/08/2016;5;-1.2;0.34
01/09/2016;5;;0.08
01/10/2016;5;;
01/11/2016;5;;
01/12/2016;5;1.09;0.79
01/01/2017;5;;
01/02/2017;5;0.36;-0.74
01/03/2017;5;0.27;-0.1
01/04/2017;5;1.25;-0.89
01/05/2017;5;-1.16;0.5
01/06/2017;5;1.18;1.99
01/07/2017;5;-0.55;-1.08
01/08/2017;5;1.72;1
01/09/2017;5;-0.48;-1.29
01/10/2017;5;0.24;0.35
01/11/2017;5;1.48;0.39
01/12/2017;5;0.46;0.48
01/01/2018;5;1.04;0.28
01/02/2018;5;1.14;1.45
01/03/2018;5;;
01/04/2018;5;-16.65;-16.53
01/05/2018;5;;
01/06/2018;5;-0.27;-0.16
01/07/2018;5;;
01/08/2018;5;1.11;1.22
01/09/2018;5;-0.92;-2.53
01/10/2018;5;4.5;0.69
01/11/2018;5;-8.87;-0.97
